feature_1,feature_2,feature_3,feature_4,target_class
0.0,1.8177778158479247,3.236053286618954,0.4893227947792214,1
5.0,2.094657951704117,9.55541509406449,0.0006353081722319411,0
0.0,1.9505083665066136,8.39558079377072,0.6135638839002578,1
0.0,2.32642226621253,24.00373890732655,0.00044179736141461597,0
0.0,1.1299721880844105,8.242428677838983,0.04438215326903941,1
0.0,2.4342813870120237,2.177520847574219,0.055877358747938796,1
0.0,2.414897602961103,1.1331072072549748,0.009843878573233301,1
0.0,3.754594226141719,9.827956383141277,0.844118710107294,0
4.0,2.4410775355300482,6.982794549432075,0.1449565808075954,0
0.0,3.897509595976383,1.5917968732253862,8.006551197184239e-05,1
2.0,3.637207484544027,2.911758419583013,0.04866799814019982,0
0.0,1.8733757346936244,1.641617657527359,0.045802529290938795,1
0.0,3.5616957013769253,3.383614149954763,0.0063970931584586685,1
5.0,3.003360718435113,2.95248339841975,0.0032370458019001158,1
0.0,2.7051027447187974,2.253405785783203,0.25240065293252206,1
9.0,2.4810479372413363,18.3594774907494,0.1375995001195419,0
9.0,1.3093133165669417,16.213798460149384,0.6220551162540057,0
9.0,2.1127804823725826,5.919274994517859,0.043396163226665195,0
7.0,2.129212478745994,3.52294955037877,0.08495568102111803,1
9.0,2.6965501721795135,10.755018694708395,0.010838325064263197,0
0.0,1.7211476125683598,15.50828439570859,0.5599336848128146,1
5.0,3.0489363913248,0.792191407769016,0.004353015783378434,1
0.0,3.1610417437928584,23.391593207123332,0.022060270218079596,0
0.0,3.466479365727672,9.887675190676223,0.0017288171669635807,0
0.0,1.5929591481325382,1.811723360709276,0.047279584039579776,1
0.0,3.3197161446796315,21.23130820243024,0.4250218113011092,0
0.0,1.156799278770459,15.287048313983396,0.005089500960422579,1
0.0,3.85972266893325,21.661961733497947,0.6690088503905584,0
0.0,2.6064456297860428,5.884232638891462,0.00014335898192858584,1
6.0,3.34739365229619,3.8170621607425224,0.4414106293875639,0
0.0,2.759437002880497,6.789836635257247,0.2113395843075674,1
5.0,1.5362193107876745,0.12275118235839158,0.12664796456390381,1
0.0,3.172274450313631,0.18853046502916912,0.11986530070923182,1
4.0,3.3057497555433537,3.0277085877706718,0.587055792850596,0
0.0,2.912449763571909,24.174321609881343,0.4578875870344895,1
0.0,1.0510774929280307,11.287749372747811,0.002883298677679671,1
0.0,1.1638176074637716,6.735857375112849,0.020596442591604158,1
0.0,1.5787042445930446,12.477297414842386,0.2737127200122145,1
1.0,1.609645586625949,10.996910505167431,0.4968193376755701,1
6.0,1.5419053073335875,14.285753828208216,0.03581181588288754,1
0.0,1.6871603734213225,3.1138527006088728,0.39257282885953576,1
0.0,2.5471323980335523,1.4531696307210655,0.00028056123791888704,1
8.0,3.805788725811393,16.62980563621619,0.014734465486233899,0
0.0,2.897869940947028,17.64634592091133,0.21543099607447763,1
0.0,1.1237916435717517,1.9221161636024022,0.1426751579180048,1
6.0,3.3215828928328732,1.413060764025527,0.8537088830365619,1
0.0,2.8144658600799866,5.025150396092366,0.28516438402961813,1
9.0,2.6073626604625906,3.1672226772083256,0.0003876820286155167,0
5.0,3.130812071842987,1.8709093835637105,0.8111306391150687,1
9.0,3.965699141185792,2.5374068542132386,0.3286498961988627,0
9.0,1.0736331768112621,2.9755052708819587,0.18028951834199242,1
8.0,2.725220661369394,28.144506266260553,0.35200517656592084,0
0.0,3.2147055375191997,4.673198480389828,0.43519727862993224,1
5.0,2.342230180751988,1.1248046978286586,0.09201356797612906,1
9.0,2.2758821317122817,12.1999209977496,0.020449084944678817,0
0.0,2.9204283689708745,12.554503019102155,0.19214841586367615,0
5.0,2.499760492587787,24.56341827220589,0.027806256069254815,0
0.0,3.711206071672446,1.4908574232342358,7.867815504667877e-08,1
0.0,2.829868274971629,3.4260555766718626,0.18808027339274178,1
0.0,3.014303079119316,0.8503852067347657,0.6971949566311592,1
